name	latitude	longitude	icon	vicinity
Agasna Othero & Company Advocates	-0.100737	34.7512096	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Harleys Building, Kisumu
AIP Advocates - Kisumu	-0.1044315	34.7528504	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Alpha House, 4th Floor, Kisumu CBD, Oginga Odinga Street, Kisumu
CID Office Railways Kisumu	-0.1029971	34.7464158	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Within Kisumu Port, Marine Dr, Kisumu
Staussi & Asunah Advocates	-0.105119	34.7524756	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Reinsurance Plaza, Oginga Odinga Rd, Kisumu
Kirenga & Co. Advocates	-0.1046359	34.7528668	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Wing A, Alpha House, Kisumu CBD, Oginga Odinga Rd, Kisumu
Ken Omollo & Company Advocates	-0.1017039	34.7509283	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Awori House, Oginga Odinga Avenue, Bank St, Kisumu
Mulondo Oundo Muriuki Watako Advocates	-0.1050134	34.7529218	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Reinsurance Plaza, Oginga Odinga Rd, Kisumu
Bruce Odeny And Company Advocates	-0.1050335	34.7527207	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Re - Insurance Plaza, Oginga Odinga Rd, Kisumu
Barongo Ombasa & Company	1.0148777	35.0026419	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Magero House, Opposite Kitale Law Courts, Kitale, Moi Ave, Kitale
Marika & Koross Advocates	1.0131302	34.9984556	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Kitale
Walter Wanyonyi & Co Advocates	1.0141991	35.0029111	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Moi Ave, Kitale
CK Yano & Co Advocates	1.0141616	35.0040837	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Mak Asembo Street, Kitale
Wanyama CS & Company Advocates	1.0139863	35.0044054	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	K A A Building, Mak Asembo Street, Kitale
Kidiavai & Company Advocates	1.01523	35.0024629	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Bank St, Kitale
Sifuna &Sifuna Advocates	1.0155995	35.0040049	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Robert Ouko Street, Kitale
Tigogo & Company Advocates	1.0159783	35.0018674	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Kitale
Lelei & Bungei Advocates	1.0141615	35.0040781	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Mak Asembo Street, Kitale
Mwangi Wahome & Company Advocates	1.0143181	35.0028294	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Moi Ave, Kitale
N.Waweru & Company Advocates	1.0163483	35.0019264	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Kitale
Daniel Ondabu & Co Advocates	1.0145408	35.0042331	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Kenyatta St, Kitale
Okile & Company Advocates	1.0141617	35.0041049	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Mak Asembo Street, Kitale
Onyancha & Co Advocates	1.0167345	35.0024468	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Kenyatta St, Kitale
Chebii Cherop & Co Advocates	1.0147205	35.0025728	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Moi Ave, Kitale
Mbugua & Aduda Advocates	1.0142047	35.0029072	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Moi Ave, Kitale
Esther Chege & Co Advocates	1.0138837	35.0052289	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Mak Asembo Street, Kitale
JM Wafula & Company Advocates	1.013873	35.0044275	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	K F A Building, Mak Asembo Street, Kitale
Mburu, Okara & Company Advocates	-1.396345	36.752949	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Magadi Rd, Ongata Rongai
Kitonga & Company Advocates	-1.3974372	36.7597188	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Ongata Rongai
Maendeleo Ya Wanaume	-1.3952974	36.7400569	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	No. 55007, Ongata Rongai
D.K Njagi Marete advocates	-1.3960991	36.7453167	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Ongata Rongai
JW Nabiswa & Co. Advocates	-1.3228069	36.8015371	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Suite 39, 1st Floor, Bethel Business Centre, Langata Rd, Nairobi
Gitau And Kaburu Advocates	-1.313903	36.817168	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Lower Hill Duplex Building, Bunyala Rd, Nairobi
Maanzo & Company Advocates	-1.28025	36.818571	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Muindi Mbingu St, Nairobi
CAPITAL LAW GROUP (Notaries Public, Commissioners For Oath & Advocates)	-1.2718206	36.8015703	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	No. 5 Swiss Cottages, Riverside Drive/Ring Road Kileleshwa Junction, - White Maisonettes opposite Prime Bank, Nairobi
B.M Musau & Co. Advocates	-1.5179009	37.269423	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Syokimau Ave, Machakos
Martin M. Muithya & Company Advocates	-1.5215727	37.2674804	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	2nd Floor, Kiilu Mosa Building, Makutano - Kitui Rd, Machakos
Kitindo Musembi & Co. Advocates	-1.5190878	37.2654137	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	C97, Machakos
Muema Associates & Advocates	-1.5210532	37.2679387	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	3rd Floor, Kamba Building, Makutano - Kitui Rd, Machakos
NYONGESA & COMPANY ADVOCATES	-3.2161128	40.1219276	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Silversand Road, Malindi
Chepkwony & Associates Advocates	-3.2205879	40.1263323	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Bay Point Building, 1st Floor, Silversand Road, Malindi
Architectural Physical Planning & Environmental	-3.2204285	40.1214842	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Mijikenda, Casuarina Rd, Malindi
Balala & Abed Advocates	-4.0515199	39.6875873	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	4th Floor, Shree Plaza, Nyali Rd, Mombasa
Sherman Nyongesa & Company Advocates	-4.0633	39.6723138	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Ambalal House, Room No. N 5. 05, 5th Floor, Mombasa Trading Centre, Mombasa CBD, Nkrumah Rd, Mombasa
Khatib Advocates	-4.064607	39.670794	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Nyerere Ave, Mombasa
Adembesa & Co. Advocates	-4.0631111	39.6759458	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Opposite DHL, Next To Kenyatta University, Mombasa Old Town, Nkrumah Rd, Mombasa
Civil Servant's	-4.0642361	39.6733347	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	8th Floor, NSSF Building, Nkurumah Road, Mombasa
Stephen At Planet Apartments Security	-4.0212089	39.7210834	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Mombasa
Ojode Udoto & Onjoro Advocate	-4.0598383	39.6621663	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Alissa Building, Tangana Rd, Mombasa
Kiliru And Co.	-4.0632779	39.6720523	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Mombasa Trade Centre, 6th Floor, Nkuruma Road, Mombasa CBD, Mombasa
Gakuhi & Co. Advocates	-4.0633194	39.6722105	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Mombasa Trade Centre, 9th Floor, Nkrumah Rd, Mombasa
Anyanzwa Advocates	-4.064591	39.6708316	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Nyerere Ave, Mombasa
S. M. Kimani Advocate	-4.0622142	39.6722307	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Mombasa
Ameli Inyangu & Partners Advocates - AIP	-1.285231	36.823677	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	2nd Floor, K.C.S House, Mama Ngina Street, Nairobi
George Wakahiu & Njenga Advocates	-1.2815	36.817254	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Kenya House, P.O.Box 73011-00200, Monrovia St, Nairobi
Mohammed Muigai Advocates	-1.291069	36.785988	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	4th Floor, K-Rep Plaza, Wood Avenue, Off Lenana Road, Kilimani, Nairobi
Macharia-Mwangi and Njeru Advocates	-1.2918999	36.811409	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	First Ngong Ave, Nairobi
Mwagambo & Okonjo Advocates	-1.2792511	36.8038104	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	8 Kilimani Road, Nairobi City
Muteithia Kibira Advocates	-1.2906919	36.7910081	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Adcare Titan Complex, 4th Floor., Chaka Rd, Nairobi
Abdulrahman Saad & Associates Advocates	-1.2827344	36.8161592	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	6 Utalii St, Nairobi City
Kariuki Muigua & Co.	-1.2885422	36.8265306	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Suite 306, 307, 3rd Floor, Pioneer Assurance House, Moi Avenue, Nairobi
MNM Advocates LLP	-1.3016124	36.8217254	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	kiambere road upper hill, Nairobi City
Wanjao & Wanjau Advocates	-1.2981094	36.7992683	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Ngong Rd, Nairobi
Mutua Waweru Advocates	-1.272996	36.816623	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Kipande Rd, Nairobi
Ngatia & Associates Advocates	-1.2911664	36.810919	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	2nd Floor, Garden Towers, Nairobi
Chege Kibathi & Company Advocates LLP	-1.284259	36.820633	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Hughes Building, Banda St, Nairobi
Bhullar & Co Advocates	-1.2613597	36.8015089	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Second floor, Sarit Centre, P. O. Box 14955 Parklands Rd, Nairobi
Oyatta &Associates Advocates	-1.2856837	36.8223131	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Wabera St, Nairobi City
Universal Emigration Consultants Kenya	-1.288084	36.826594	https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png	Agriculture House, 2nd floor Suite 201., Moi avenue and Harambee Avenue Junction Nairobi, Kenya, 37959- 00100 Nairobi- Kenya, Nairobi
